left,center,right
9,10,11
8,0,8
-1,8,-1
-1,9,-1
9,5,8
0,9,11
-1,7,-1
11,12,4
9,0,10
-1,9,-1
9,10,0
8,6,11
-1,7,-1
-1,7,-1
10,0,11
9,9,11
-1,7,-1
9,8,10
-1,7,-1
11,4,11
-1,7,-1
6,9,9
-1,7,-1
11,6,8
10,9,0
9,0,10
8,3,8
-1,7,-1
-1,7,-1
-1,7,-1
-1,3,-1
8,10,5
8,11,9
-1,7,-1
8,11,9
9,10,0
-1,7,-1
-1,7,-1
11,0,10
0,8,11
-1,7,-1
1,-1,10
9,11,10
8,11,5
-1,7,-1
11,9,11
-1,7,-1
11,2,9
-1,7,-1
-1,7,-1
9,10,11
2,10,10
8,11,10
-1,7,-1
-1,7,-1
9,5,11
11,10,8
-1,7,-1
11,0,10
-1,7,-1
9,11,6
-1,7,-1
0,8,10
-1,7,-1
-1,7,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
