left,center,right
0,9,5
-1,8,10
-1,7,-1
3,12,0
-1,7,-1
9,0,11
10,-1,0
-1,7,-1
0,8,12
-1,11,2
-1,7,-1
9,4,0
1,10,-1
-1,7,-1
-1,12,0
4,9,-1
8,11,6
-1,7,-1
-1,7,-1
3,0,12
0,-1,9
-1,7,-1
0,10,5
8,12,8
-1,7,-1
9,4,-1
-1,8,0
-1,7,-1
-1,7,-1
11,1,0
-1,0,10
8,4,9
-1,7,-1
-1,7,-1
3,0,9
12,-1,0
0,8,1
-1,7,-1
9,0,11
0,12,6
-1,7,-1
-1,7,-1
1,8,0
9,11,3
-1,7,-1
9,2,8
0,0,-1
-1,7,-1
-1,7,-1
0,12,12
-1,7,-1
1,9,10
8,11,0
-1,7,-1
-1,7,-1
-1,0,12
11,4,9
-1,7,-1
12,0,5
-1,7,-1
9,3,0
-1,7,-1
0,1,11
10,0,-1
-1,7,-1
