left,center,right
8,10,5
-1,7,-1
12,-1,9
3,8,9
-1,7,-1
-1,7,-1
-1,7,-1
4,9,5
8,-1,11
-1,7,-1
-1,7,-1
8,6,9
-1,8,4
-1,7,-1
10,5,9
-1,7,-1
8,11,2
-1,7,-1
-1,7,-1
9,3,12
-1,7,-1
4,9,1
8,5,8
-1,7,-1
-1,7,-1
9,9,6
-1,7,-1
-1,8,3
-1,7,-1
9,-1,12
-1,7,-1
8,10,2
-1,7,-1
-1,7,-1
3,11,9
9,2,-1
-1,7,-1
-1,7,-1
9,-1,10
5,9,4
-1,7,-1
8,6,8
-1,7,-1
9,8,3
-1,7,-1
12,2,8
-1,7,-1
-1,7,-1
-1,7,-1
-1,7,-1
-1,7,-1
9,5,10
8,11,2
-1,7,-1
-1,7,-1
-1,7,-1
11,4,9
-1,7,-1
12,-1,5
-1,7,-1
9,8,3
-1,7,-1
2,1,4
-1,7,-1
-1,7,-1
