left,center,right
0,10,4
-1,7,-1
10,9,11
11,12,0
-1,7,-1
8,9,11
11,5,11
11,12,12
9,0,10
-1,7,-1
9,10,11
-1,7,-1
-1,7,-1
-1,7,-1
12,12,11
11,9,10
10,8,8
-1,7,-1
-1,7,-1
12,6,12
11,0,11
9,10,10
-1,7,-1
-1,7,-1
10,12,11
9,11,10
8,6,12
-1,7,-1
-1,7,-1
8,12,11
-1,7,-1
12,10,9
0,5,8
-1,7,-1
-1,7,-1
9,10,11
-1,7,-1
-1,7,-1
11,12,10
0,11,0
-1,7,-1
-1,7,-1
-1,7,-1
3,10,12
-1,7,-1
10,9,11
-1,7,-1
11,12,5
-1,7,-1
-1,7,-1
9,11,12
10,10,0
8,12,8
11,4,9
-1,7,-1
-1,7,-1
11,5,8
10,12,9
8,0,10
-1,7,-1
9,11,8
-1,7,-1
11,4,0
0,10,12
-1,7,-1
