left,center,right
-1,7,-1
-1,7,-1
2,-1,11
8,-1,3
-1,7,-1
-1,7,-1
-1,7,-1
6,-1,10
8,-1,9
-1,4,-1
-1,7,-1
8,3,9
-1,7,-1
-1,7,-1
9,8,5
-1,9,1
3,12,6
-1,7,-1
-1,7,-1
8,5,9
3,-1,-1
-1,7,-1
9,4,-1
-1,8,6
10,2,9
9,5,12
-1,7,-1
-1,7,-1
8,-1,3
9,-1,11
-1,7,-1
8,2,10
-1,7,-1
-1,7,-1
8,6,9
-1,7,-1
-1,7,-1
-1,7,-1
9,-1,3
5,9,11
-1,7,-1
8,-1,9
-1,7,-1
9,8,-1
12,-1,2
8,-1,8
-1,7,-1
9,4,8
-1,7,-1
-1,7,-1
-1,7,-1
9,-1,11
8,10,8
2,-1,1
-1,7,-1
-1,7,-1
9,-1,12
8,5,8
-1,7,-1
-1,7,-1
2,12,3
5,9,4
-1,7,-1
-1,7,-1
-1,7,-1
