left,center,right
-1,2,3
-1,7,-1
-1,-1,1
2,-1,-1
-1,7,-1
4,-1,5
8,-1,-1
-1,6,-1
-1,-1,9
3,-1,2
-1,7,-1
-1,7,-1
-1,7,-1
4,3,-1
-1,8,5
9,-1,10
-1,1,6
-1,7,-1
9,2,-1
12,-1,9
3,-1,-1
-1,7,-1
-1,4,9
5,11,6
-1,2,-1
9,-1,8
-1,7,-1
-1,7,-1
8,-1,3
9,-1,11
-1,7,-1
-1,2,-1
-1,7,-1
10,8,9
3,6,2
-1,7,-1
-1,7,-1
-1,7,-1
9,3,-1
8,10,9
4,5,-1
-1,-1,12
-1,7,-1
9,8,-1
-1,2,-1
-1,7,-1
10,-1,9
8,5,11
-1,7,-1
-1,7,-1
4,6,5
9,-1,9
8,8,8
2,-1,1
8,-1,9
-1,7,-1
9,-1,8
4,-1,4
-1,7,-1
-1,7,-1
12,-1,8
5,6,-1
1,-1,2
8,9,-1
-1,7,-1
